prompt,references,greedy,sampled
"[""Answer the following question shortly according to the context: What was Truman Capote's last name before he was adopted by his stepfather?[SEP] Context: Truman Capote was born Truman ... where he adopted his stepfather's surname and ... which was published serially in The New Yorker in 1965 before ...[SEP] Answer: ""]","['personhood theory', 'persons', 'person', 'perſon', 'perſons', 'person philosophical']","[""Before he was adopted by his stepfather, Truman Capote's last name was Capote""]","[""Capote's last name before he was adopted by his stepfather was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Capote's last name before he was adopted by his stepfather was"", ""Before he was adopted by his stepfather, Truman Capote's last name was"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Capote's last name before he was adopted by his stepfather was"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Capote's last name before he was adopted by his stepfather was"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Capote's last name before he was adopted by his stepfather was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", 'Capote\'s last name before he was adopted by his stepfather was ""Capote', ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Capote's last name before he was adopted by his stepfather was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", 'Capote', ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was Capote"", ""Before he was adopted by his stepfather, Truman Capote's last name was""]"
"[""Answer the following question shortly according to the context: In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?[SEP] Context: [SEP] Answer: ""]","['boojum disambiguation', 'boojum']","['The elusive, troublesome snark turned into a ""Boy"" in Lewis Carroll\'s poem The Hunting of the Snark']","['The snark turned into a ""Boa Constrictor from the Bronx"" to fool hunters', ""The elusive, troublesome snark in Lewis Carroll's poem turned into a Boojum"", 'According to Lewis Carroll\'s poem, the elusive, troublesome snark turned into a ""Boojum"" to fool hunters', 'The snark turned into a ""boojum"" to fool the hunters in Lewis Carroll\'s poem The Hunting of the Snark', '', 'In Lewis Carroll\'s poem The Hunting of the Snark, the elusive, troublesome snark turned into a ""Boy with a Book"" to fool the hunters', ""In Lewis Carroll's poem The Hunting of the Snark, the elusive, troublesome snark turned into a bandersnatch"", 'In Lewis Carroll\'s poem The Hunting of the Snark, the elusive, troublesome snark turned into a ""Bellman"" to fool the hunters', 'According to Lewis Carroll\'s poem, the elusive, troublesome snark turned into a ""Boy with a Bottle"" to fool the hunters', ""In Lewis Carroll's poem The Hunting of the Snark, the elusive, troublesome snark turned into a Boojum"", 'The elusive, troublesome snark in Lewis Carroll\'s poem The Hunting of the Snark turns into a ""Bellman"" to fool hunters', '', 'The elusive, troublesome snark turned into a ""Boy"" in Lewis Carroll\'s poem The Hunting of the Snark', 'The elusive, troublesome snark in Lewis Carroll\'s poem turned into a ""Bellman"" to fool hunters', 'The elusive, troublesome snark turned into a bandersnatch', ""According to Lewis Carroll's poem, the elusive, troublesome snark turned into a boojum"", 'The elusive, troublesome snark turned into a bandersnatch', 'The elusive, troublesome snark in Lewis Carroll\'s poem The Hunting of the Snark turned into a boojum, a creature that was ""a monstrous, unreasonable thing, with eyes that glowed in the dark""', '', '', ""In Lewis Carroll's poem The Hunting of the Snark, the elusive, troublesome snark turned into a boojum"", ""The snark, in Lewis Carroll's poem, turned into a Boojum"", 'According to the poem, the snark turned into a Boojum', 'According to the poem, the snark turned into a Boojum', 'In Lewis Carroll\'s poem The Hunting of the Snark, the elusive, troublesome snark turned into a ""Bellman"" to fool hunters', ""The elusive, troublesome snark turned into a bandersnatch in Lewis Carroll's poem The Hunting of the Snark"", 'The elusive, troublesome snark turned into a bandersnatch', 'The elusive, troublesome snark in Lewis Carroll\'s poem The Hunting of the Snark turned into a ""Bellman"" to fool hunters', 'In Lewis Carroll\'s poem The Hunting of the Snark, the elusive, troublesome snark turns into a ""Boojum"" to fool hunters', 'According to the poem, the snark turned into a Boojum, which is a strange and elusive creature that cannot be caught or seen']"
"['Answer the following question shortly according to the context: In the Bible, who did the sun and moon stand still before?[SEP] Context: Did the Sun Stand Still? by : ... Before anyone can dismiss the Bible because it reports miracles as though they ... Moon, and Sun, and still maintain every other ...[SEP] Answer: ']","['jehoshua', 'yehoshiya', 'jesus navin', 'joshua in islam', 'yehosheya', 'yehoshua 60', 'yusha', 'yhoshoa', 'yoshia', 'joshua', 'y hoshea', 'yahusha', 'joshua son of nun', 'yoshea', 'yhoshua', 'joshua s prayer', 'jehoshuah', 'y hoshua', 'y hoshoa', 'joshua ben nun', 'yĕhōshūa', 'y hosheya', 'yhosheya', 'yhoshea', 'joshua s conquests', 'yehoshoa', 'yoshoa', 'yehoshua ben nun', 'yhoshua ben nun', 'y hoshiya', 'y hoshia', 'yehoshia', 'yehosha', 'joshua of ephraim', 'yūsha', 'yhoshia', 'yoshua', 'yahushua', 'yehoshea', 'yosha', 'joshua bin nun', 'yhosha', 'يوشع', 'yhoshiya', 'ieshua', 'yosheya', 'joshuah', 'josue', 'יְהוֹשֻׁעַ', 'y hosha']",['1'],"['1', '1', '1 Chronicles 16:30', '1 Kings 7:13-14', '1', 'Joshua 10:12-13', '1 Chronicles 16:30', '1', '1', '1', '1', '1', '1', '1', '1 Chronicles 16:30', 'Joshua 10:12-13', '1', '1', '2 Kings 20:9-11', 'Joshua 10:12-13', '1', '1 Chronicles 16:30', '1 Kings 7:36-37', '1 Kings 7:36-37', '1 Chronicles 16:30-33', '1 Chronicles 16:30', '1 Chronicles 16:30-33', '1 Chronicles 16:30', 'Joshua 10:12-13', '2 Kings 20:9-11']"
"['Answer the following question shortly according to the context: What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta\'s Paradise?[SEP] Context: ""Gangsta\'s Paradise"" is a rap song by Coolio featuring L.V. from ... ""Gangsta\'s Paradise"" is a rap song by Coolio featuring L.V. from the movie ...[SEP] Answer: ']","['my posse don t do homework', 'dangerous minds', 'dangerous minds film']","['""Dangerous Minds"" is the movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" featuring L']","['Dangerous Minds', 'The Michelle Pfeiffer movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" is ""Dangerous Minds""', 'The Michelle Pfeiffer movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" is ""Dangerous Minds""', '1995\'s ""Dangerous Minds""', 'The Michelle Pfeiffer movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" is ""Dangerous Minds""', 'The Michelle Pfeiffer movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" is ""Dangerous Minds', '1995\'s ""Dangerous Minds""', 'The Michelle Pfeiffer movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" is ""Dangerous Minds""', '1995\'s ""Dangerous Minds""', 'Dangerous Minds', '""Dangerous Minds"" is the movie where ""Gangsta\'s Paradise"" by Coolio featuring L', 'Dangerous Minds', '""Dangerous Minds"" is the movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" featuring L', 'Dangerous Minds', '""Dangerous Minds"" is the movie where ""Gangsta\'s Paradise"" by Coolio featuring L', '""Dangerous Minds"" is the movie where the Coolio song ""Gangsta\'s Paradise"" got a boost', '""Dangerous Minds"" is the movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" featuring L', 'Dangerous Minds', 'The Michelle Pfeiffer movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" is ""Dangerous Minds""', '""Dangerous Minds"" is the movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" featuring L', 'The Michelle Pfeiffer movie that got a boost from the Coolio song ""Gangsta\'s Paradise"" is ""Dangerous Minds""', 'Dangerous Minds', '""Dangerous Minds"" (1995)', 'Dangerous Minds (1995)', '""Dangerous Minds"" is the movie that got a boost from the Coolio song ""Gangsta\'s Paradise""', '""Dangerous Minds"" is the movie where Michelle Pfeiffer\'s character got a boost from the Coolio song ""Gangsta\'s Paradise', '""Dangerous Minds"" is the movie where ""Gangsta\'s Paradise"" is featured', '1995\'s ""Dangerous Minds""', '""Dangerous Minds"" is the movie where ""Gangsta\'s Paradise"" by Coolio featuring L', '""Dangerous Minds"" (1995)']"
"[""Answer the following question shortly according to the context: What was President Gerald Ford's middle name?[SEP] Context: Gerald Rudolph Ford was the 38th President of the ... The Fords began calling their son Gerald R. Ford, Jr. but this name became ... President Gerald Ford is ...[SEP] Answer: ""]","['rudolf', 'rudolph', 'rodolphe', 'rudolph disambiguation', 'rodolph']",['Gerald R'],"['Gerald R', 'Gerald R', 'Gerald R', 'Gerald R', 'Gerald R', 'Gerald R', 'Gerald Rudolph Ford', 'Gerald R', 'Gerald R', 'Gerald Rudolph Ford', 'Gerald Rudolph Ford', 'Gerald R', 'Gerald R', ""Gerald Ford's middle name is Rudolph"", 'Gerald Rudolph Ford', 'Gerald Rudolph Ford Jr', 'Gerald R', 'Gerald R', 'Gerald R', ""Gerald Ford's middle name is Rudolph"", 'Gerald R', ""Gerald Ford's middle name is Rudolph"", 'Gerald R', 'Gerald R', 'Gerald R', 'Gerald R', 'Gerald R', 'Gerald R', 'Gerald R', 'Gerald R']"
"[""Answer the following question shortly according to the context: Art Garfunkel trained for which profession although he didn't qualify?[SEP] Context: Art Garfunkel: The BLUERAILROAD ... He really had broken away from a sort of “proper” profession and was truly bohemian. He’s a musician’s ... He didn’t ...[SEP] Answer: ""]","['master builder occupation', 'graziani corazza', 'architecht', 'clifford lawrie', 'architechts', 'architects', 'registered architect', 'hok canada inc', 'architect', 'stanford downey architects inc']","[""Art Garfunkel trained to be a teacher although he didn't qualify""]","[""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify"", ""Art Garfunkel trained to be a teacher although he didn't qualify""]"
"[""Answer the following question shortly according to the context: Who was the last inmate of Spandau jail in Berlin?[SEP] Context: ... Spandau Prison, where Rudolf Hess spent the last four ... Spandau Prison: Hess's Lonely Dungeon ... this year outside Spandau Prison in West Berlin.[SEP] Answer: ""]","['rudolf hesse', 'hess rudolf', 'walther richard rudolf hess', 'rudolf hess', 'rudolf w hess', 'rudolf walter richard heß', 'rudolf walter richard hess', 'rudolph heß', 'rudolf heß', 'rudolph hess']",['Rudolf Hess was the last inmate of Spandau jail in Berlin'],"['Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess, the last inmate of Spandau jail in Berlin, passed away on August 17, 1987, at the age of 93', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess, the former Deputy Führer of the Nazi Party, was the last inmate of Spandau Prison in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess, the former Deputy Führer of the Nazi Party, was the last inmate of Spandau jail in Berlin', 'Rudolf Hess, the last inmate of Spandau jail in Berlin, passed away in 1987', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin', 'Rudolf Hess was the last inmate of Spandau jail in Berlin']"
"[""Answer the following question shortly according to the context: What was Eddie Murphy's first movie?[SEP] Context: Eddie Murphy Celebrity Profile - Check out the latest Eddie Murphy photo gallery, ... is a trusted measurement of movie and TV programming quality for millions of ...[SEP] Answer: ""]","['48 hours', '48 time', 'forty eight time']",['48 Hrs'],"['48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs', '48 Hrs']"
"['Answer the following question shortly according to the context: In the 80s who wrote the novel Empire of The Sun?[SEP] Context: Obit: J.G. Ballard, Wrote ‘Empire of the Sun ... It was not immediately clear where he died. He was best known for the autobiographical novel ...[SEP] Answer: ']","['ballardian', 'user s guide to millenium', 'james g ballard', 'j g ballard', 'jg ballard', 'james graham ballard']",['J'],"['J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'J']"
['Answer the following question shortly according to the context: Kagoshima international airport is in which country?[SEP] Context: Kagoshima Airport is one of the largest airports in Japan. ... Country: Japan; Country code: JP; City: ... Hiroshima International Airport (HIJ) Kerama Airport ...[SEP] Answer: '],"['nihon koku', 'nihon', 'japoa', 'japang', 'japan', '日本國', 'etymology of japan', 'iso 3166 1 jp', 'jpan', 'japan country', 'riben', 'rìběn', '🗾', 'japanese financial sector', 'japian', 'nippon koku', 'state of japan', 'nippon', 'modern–era japan', 'republic of japan', '日本国', 'jpn', 'japao', 'ja pan', '日本']",['Japan'],"['Japan', 'Japan', 'Japan', 'Japan', 'Japan', 'Japan', 'Japan; Country code: JP; City: Kagoshima', 'Japan', 'Japan; Kagoshima International Airport is located in Japan', 'Japan', 'Japan', 'Japan; Kagoshima International Airport is located in Japan', 'Japan', 'Japan', 'Japan', 'Japan', 'Japan', 'Japan; Kagoshima International Airport is located in Japan', 'Japan', 'Japan', 'Japan', 'Japan; Kagoshima International Airport is located in Japan', 'Japan', 'Japan', 'Japan; Country code: JP; City: Kagoshima', 'Japan; Kagoshima International Airport is located in Japan', 'Japan', 'Japan', 'Japan', 'Japan']"
"['Answer the following question shortly according to the context: In which sport could the Pacers take on the Pistons?[SEP] Context: The Sports Quotient is a digital sports media company designed to give bright young sports minds ... what would it take for the Pistons to make the ... Pacers, and ...[SEP] Answer: ']","['men s basketball', 'baksetball', 'baketball', 'boy s basketball', 'basketball club', 'high school basketball', 'rim basketball', 'basketball team', 'bball', 'unicycle basketball', 'basketball worldwide', 'shoot hoops', 'b ball', 'basketball', 'basketball net', 'women s hoops', 'basketball gear', 'basketballer', 'basket ball', 'basketball rim', '🏀', 'basketball parity worldwide', 'basketball player']","['In the sport of basketball, the Pacers and Pistons are two teams that could take on each other']","['In the sport of basketball, the Pacers and Pistons are two NBA teams that could potentially face off against each other', 'In the sport of basketball, the Pacers and Pistons are two professional teams that compete against each other in the National Basketball Association (NBA)', 'In the context of the Sports Quotient, the Pacers and Pistons are two NBA teams that could compete against each other in basketball', 'In the NBA (National Basketball Association)', 'The Pacers and Pistons are both teams in the National Basketball Association (NBA)', 'The Pacers and Pistons are both teams in the National Basketball Association (NBA)', 'In the sport of basketball, the Pacers and Pistons are two NBA teams that could potentially face off against each other', 'In the sport of basketball, the Pacers and Pistons are two teams that could take on each other', 'In the context of the Sports Quotient, the Pacers and Pistons are teams in the National Basketball Association (NBA)', 'In the sport of basketball, the Pacers and Pistons are two teams that could take on each other', 'The Pacers and Pistons are teams in the National Basketball Association (NBA)', 'The Pacers and Pistons are both teams in the National Basketball Association (NBA)', 'In the context of the Sports Quotient, the Pacers and Pistons are teams in the National Basketball Association (NBA)', 'The Pacers and Pistons are both teams in the National Basketball Association (NBA)', 'In the sport of basketball, the Pacers and Pistons are two teams that could compete against each other', 'The Pacers and Pistons are both teams in the National Basketball Association (NBA)', '', 'The Pacers and Pistons are teams in the National Basketball Association (NBA)', 'The Pacers and Pistons are teams in the National Basketball Association (NBA)', 'In the sport of basketball, the Pacers and Pistons are two teams that could take on each other', '', 'The Pacers and Pistons are both teams in the National Basketball Association (NBA)', 'The Pacers and Pistons are both teams in the National Basketball Association (NBA)', 'In the sport of basketball, the Pacers and Pistons are two NBA teams that could compete against each other', 'In the NBA (National Basketball Association)', 'In the sport of basketball, the Pacers and Pistons are teams that compete against each other in the National Basketball Association (NBA)', 'The Pacers and Pistons are both teams in the National Basketball Association (NBA)', 'In the sport of basketball, the Pacers and Pistons are two teams that could compete against each other', 'In the sport of basketball, the Pacers and Pistons are two NBA teams that could potentially face off against each other', 'In the sport of basketball, the Pacers and Pistons are two NBA teams that could compete against each other']"
"['Answer the following question shortly according to the context: Kim Carnes\' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?[SEP] Context: ""Bette Davis Eyes"" is a classic hit song ... Kim Carnes. It spent nine weeks at #1 on the ... Hot 100 interrupted for one week by the ...[SEP] Answer: ']","['stars on 45 song', 'stars on 45 single', 'stars on 45 medley', 'medley intro venus sugar sugar no reply i ll be back drive my car do you want to know secret we can work it out i should have known better nowhere man you re going to lose that girl stars on 45']","['""Don\'t Stand So Close to Me"" by The Police']","['""Don\'t You Want Me"" by The Human League', '""Don\'t Stand So Close to Me"" by The Police', '""Don\'t Stand So Close to Me"" by The Police', '""Love Is a Battlefield"" by Pat Benatar', '""Don\'t Stand So Close to Me"" by The Police', '""Love Is a Battlefield"" by Pat Benatar', '""I Will Survive"" by Gloria Gaynor', '""Don\'t You Want Me"" by The Human League', '""Don\'t Stand So Close to Me"" by The Police', '""Don\'t Stand So Close to Me"" by The Police', '""Don\'t Stand So Close to Me"" by The Police', '""Love Is a Battlefield"" by Pat Benatar', '""Don\'t You Want Me"" by The Human League', '""Kiss on My List"" by Hall & Oates', '""Kiss on My List"" by Hall & Oates', '""Don\'t Stand So Close to Me"" by The Police', '""Don\'t Stand So Close to Me"" by The Police', '""Don\'t Stand So Close to Me"" by The Police', '""Don\'t You Want Me"" by The Human League', '""Kiss on My List"" by Hall & Oates', '""Love Will Keep Us Together"" by Captain & Tennille', '""Don\'t Stand So Close to Me"" by The Police', '""Don\'t Stand So Close to Me"" by The Police', '""Don\'t You Want Me"" by The Human League', '""Don\'t Stand So Close to Me"" by The Police', '""I Will Survive"" by Gloria Gaynor', '""I Will Survive"" by Gloria Gaynor', '""Don\'t You Want Me"" by The Human League', '""I Will Survive"" by Gloria Gaynor', '""Kiss on My List"" by Hall & Oates']"
"[""Answer the following question shortly according to the context: Where in Canada is the Lion's Gate bridge?[SEP] Context: Lions gate bridge. Retrieved ... Lions Gate Bridge. The Canadian Encyclopedia http://www.thecanadianencyclopedia.ca/en/article/lions-gate-bridge/ ... Bridge; Lions Gate;[SEP] Answer: ""]","['south vancouver british columbia', 'vansterdam', 'vancouvr', 'vancouver bc', 'vancover', 'vancouver british colombia', 'hong kouver', 'vancouver', 'vancouver bc canada', 'vancouverites', 'un locode cavan', 'vancouver christian school', 'vancouver b c canada', 'vancouver city centre british columbia', 'vanocuver', 'vancouver british columbia', 'corpus christi elementary', 'vancouverite', 'hongcouver', 'hong couver', 'hastings east vancouver', 'vancouver canada', 'vancover british columbia', 'corpus christi elementary school canada', 'city of vancouver', 'greater vancouver bridges', 'vancouver b c', 'vancouver british columbia canada']","['The Lions Gate Bridge is located in Vancouver, British Columbia, Canada']","[""The Lion's Gate bridge is located in Vancouver, British Columbia, Canada"", 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', 'Vancouver, British Columbia', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', ""The Lion's Gate bridge is located in British Columbia, Canada, specifically in Vancouver"", 'Vancouver, British Columbia, Canada', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', ""The Lion's Gate bridge is located in Vancouver, British Columbia, Canada"", ""The Lion's Gate Bridge is located in Vancouver, British Columbia, Canada"", ""The Lion's Gate bridge is located in Vancouver, British Columbia, Canada"", 'Vancouver, British Columbia, Canada', ""The Lion's Gate bridge is located in Vancouver, British Columbia, Canada"", 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', 'Vancouver, British Columbia, Canada', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', ""The Lion's Gate Bridge is located in Vancouver, British Columbia, Canada"", 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', ""The Lion's Gate bridge is located in Vancouver, British Columbia, Canada"", 'The Lions Gate Bridge is located in Vancouver, British Columbia, Canada', ""The Lion's Gate Bridge is located in Vancouver, British Columbia, Canada"", ""The Lion's Gate Bridge is located in Vancouver, British Columbia, Canada"", 'Vancouver, British Columbia, Canada']"
"[""Answer the following question shortly according to the context: What was Walter Matthau's first movie?[SEP] Context: ... actor Walter Matthau parlayed his rumpled, ... First Monday in October 1981 (Movie) ... Billed as Walter Matuschanskavasky for his cameo in ...[SEP] Answer: ""]",['kentuckian'],"['1961\'s ""The Tunnel of Love"" was Walter Matthau\'s first movie']","['The first movie of Walter Matthau was ""The First Monday in October"" (1981)', '1981\'s ""First Monday in October"" was Walter Matthau\'s first movie', '1981\'s ""First Monday in October"" was Walter Matthau\'s first movie', 'First Monday in October (1981)', ""First Monday in October (1981) was Walter Matthau's first movie"", 'First Monday in October (1981)', 'First Monday in October (1981)', '1961\'s ""The Tunnel of Love"" was Walter Matthau\'s first movie', 'First Monday in October (1981)', 'First Monday in October (1981)', '1981\'s ""First Monday in October"" was Walter Matthau\'s first movie', 'First Monday in October (1981)', 'First Monday in October (1981)', 'First Monday in October (1981)', 'First Monday in October (1981)', '1961\'s ""The Tunnel of Love"" was Walter Matthau\'s first movie', ""First Monday in October 1981 was Walter Matthau's first movie"", 'First Monday in October (1981)', '1961\'s ""The Tunnel of Love"" was Walter Matthau\'s first movie', 'First Monday in October (1981)', ""First Monday in October (1981) was Walter Matthau's first movie"", '1981\'s ""First Monday in October"" was Walter Matthau\'s first movie', 'First Monday in October (1981)', '1', 'First Monday in October (1981)', 'The first movie of Walter Matthau was ""The First Monday in October"" (1981)', '1981\'s ""First Monday in October"" was Walter Matthau\'s first movie', 'The first movie that Walter Matthau starred in was ""The First Monday in October"" released in 1981', 'First Monday in October (1981)', 'First Monday in October 1981']"
"['Answer the following question shortly according to the context: Otis Barton was a pioneer in exploring where?[SEP] Context: Built by the American zoologist William Beebe and the American engineer Otis Barton, ... Keep Exploring Britannica. ... and a charismatic pioneer of the personal ...[SEP] Answer: ']","['under water', 'undersea', 'underwater life', 'underwater']",['Otis Barton was a pioneer in exploring the ocean'],"['Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', '1930s', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', '1934', '1', 'Otis Barton was a pioneer in exploring the ocean', '1930s', 'Otis Barton was a pioneer in exploring the ocean', '1', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', '1930s', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', '1', '1', '1', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the ocean', 'Otis Barton was a pioneer in exploring the bathyscaphe']"
